question_text,options,solution_text,question_no,exercise,path,chapter,subject,grade,book
"Which of the following numbers in Roman numerals is incorrect?
","A. LXXX

B. LXX

C. LX

D. LLX","A. LXXX is correct and represents 50+30 = 80

B. LXX is correct and represents 50+20 = 70

C. LX is correct and represents 50+10 = 60

D. LLX does not represent anything, because LL is not a valid roman numeral (C is used for 100 instead of LL)

Hence, D is incorrect.",Q. 11,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The largest 5-digit number having three different digits is
","A. 98978

B. 99897

C. 99987

D. 98799","To obtain the largest 5 digit number, digits must be used from 9 in the descending order.

As we have to use 3 different digits, they are 9, 8 and 7

Also since we need the largest digit, only the ones and tens place be filled by 8 and 7.

Rest by 9 which is the largest digit.

Hence, the answer is 99987",Q. 12,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The smallest 4-digit number having three different digits is
","A. 1102

B. 1012

C. 1020

D. 1002","To obtain the smallest 4-digit number, we need to use digits in the ascending order.

The smallest 3-different digits are 0, 1and 2

As, 0 can’t come at thousand place,

The answer will be 1, 002",Q. 13,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Number of whole numbers between 38 and 68 is
","A. 31

B. 30

C. 29

D. 28","Whole numbers start from 0 and increase by 1 each

They are 0, 1, 2, 3…

Number of whole numbers between 38 and 68 are-

39, 40, 41, …, 66, 67

i.e. no. of whole numbers = 67-39+1

= 29

*Important Note:

we find the number of numbers between two numbers 'a' and 'b'

(including b and a), by the formula (b - a + 1)",Q. 14,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The product of successor and predecessor of 999 is
","A. 999000

B. 998000

C. 989000

D. 1998","Successor (number after) of 999 = 999+1 = 1000

Predecessor (number before) of 999 = 999-1 = 998

Product of successor and predecessor of 999 = 1000× 998

= 998000",Q. 15,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The product of a non-zero whole number and its successor is always
","A. an even number

B. an odd number

C. a prime number

D. divisible by 3","Let the non-zero whole number = a

The successor (number after) = a + 1

Case 1:

If a is even,

Successor = a + 1 is odd

The product of an even and odd number is always even.

(For example: 2 × 3 = 6)

Hence, the answer is an even number.

Case 2:

If a is odd,

Successor = a+1 is even

The product of a even and odd number is always even.

(For example: 5 × 6 = 30)

Hence, the answer is an even number.",Q. 16,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A whole number is added to 25 and the same number is subtracted from 25. The sum of the resulting numbers is
","A. 0

B. 25

C. 50

D. 75","Let the whole number = a

First number = 25 + a

Second number = 25 - a

Sum of resulting numbers = 25 + a + (25 - a)

= 25 + a + 25 - a

= 25 + 25 + a - a

= 50 + 0

= 50",Q. 17,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following is not true?
","A. (7 + 8) + 9 = 7 + (8 + 9)

B. (7 × 8) × 9 = 7 × (8 × 9)

C. 7 + 8 × 9 = (7 + 8) × (7 + 9)

D. 7 × (8 + 9) = (7 × 8) + (7 × 9)","LHS = left hand side

RHS = Right hand side

A. (7 + 8) + 9 = 7 + (8 + 9)

Is true due to associative property of addition.

B. (7 × 8) × 9 = 7 × (8 × 9)

Is true due to associative property of multiplication.

C. LHS = 7 + 8 × 9

= 7 + 72

= 79

RHS = (7+8) × (7+9)

= 15× 16 = 240

As LHS ≠ RHS,

It is incorrect.

D. 7 × (8 + 9) = (7 × 8) + (7 × 9)

It is true due to distributive property of addition over multiplication.",Q. 18,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"By using dot (.) patterns, which of the following numbers can be arranged in all the three ways namely a line, a triangle and a rectangle?
","A. 9

B. 10

C. 11

D. 12","A triangle can’t be made by 3 dots, 11 dots or 12 dots and a rectangle can’t be made by 11 dots, hence option A, C and D are incorrect.

A line, a triangle and a rectangle can be drawn by 10 dots as shown,

TRIANGLE:


LINE:


RECTANGLE:",Q. 19,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following statements is not true?
","A. Both addition and multiplication are associative for whole numbers.

B. Zero is the identity for multiplication of whole numbers.

C. Addition and multiplication both are commutative for whole numbers.

D. Multiplication is distributive over addition for whole numbers.","A. It is true since addition and multiplication are associative for whole numbers.

B. If zero is multiplied by a whole number, the answer is 0. Hence, it is not the identity since on multiplying the answer is not the original number. Hence, it is not true.

C. It’s true since Addition and multiplication both are commutative for whole numbers.

D. It’s true since Multiplication is distributive over addition for whole numbers.",Q. 20,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following statements is not true?
","A. 0 + 0 = 0

B. 0 – 0 = 0

C. 0 × 0 = 0

D. 0 ÷ 0 = 0","LHS = left hand side

RHS = Right hand side

A. LHS = 0+0 = 0

RHS = 0

∴ LHS = RHS

B. LHS = 0-0 = 0

RHS = 0

∴ LHS = RHS

C. LHS = 0× 0 = 0

RHS = 0

∴ LHS = RHS

D. LHS = 0÷ 0 is not defined, since denominator is 0

∴ it is not defined.",Q. 21,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The predecessor of 1 lakh is
","A. 99000

B. 99999

C. 999999

D. 100001","Predecessor is the number before the original number

Predecessor of 1 lakh = 1, 00, 000-1

= 99, 999",Q. 22,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The successor of 1 million is
","A. 2 millions

B. 1000001

C. 100001

D. 10001","Successor is the number after the original number

Successor of 1 million = 1, 000, 000+1

= 1, 000, 001",Q. 23,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Number of even numbers between 58 and 80 is
","A. 10

B. 11

C. 12

D. 13","Even numbers between 58 and 80 are-

60, 62, 64, 66, 68, 70, 72, 74, 76, 78

Hence, the count of numbers is 10",Q. 24,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Sum of the number of primes between 16 to 80 and 90 to 100 is
","A. 20

B. 18

C. 17

D. 16","Prime numbers are those numbers, which don't have factors other than 0 and itself.

Prime numbers are 17, 19, 23, 29, 31, 37, 41, 43, 47, 53, 59, 61 67, 73, 79 between 16-80

The count of above list is 15

Prime numbers between 90 to 100 are 97

The count is 1

Sum of counts = 15+1 = 16",Q. 25,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following statements is not true?
","A. The HCF of two distinct prime numbers is 1

B. The HCF of two co prime numbers is 1

C. The HCF of two consecutive even numbers is 2

D. The HCF of an even and an odd number is even.","A. It is true because their does not exist any number other than 1 which is a factor of both the prime numbers. Hence, 1 is also the HCF.

B. It is true as Numbers which do not have any common factor other than 1 are co-prime. Hence, for them 1 is also the HCF

C. It’s true since for two consecutive even numbers, only 2 is the HCF.

D. It’s false because an odd number can never have 2 as its factor and hence the HCF can never be even.",Q. 26,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The number of distinct prime factors of the largest 4-digit number is
","A. 2

B. 3

C. 5

D. 11","Largest 4-digit number is 9999

9999 = 32× 11× 101

So distinct prime factors are 3, 11 and 101

Hence, answer = 3",Q. 27,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The number of distinct prime factors of the smallest 5-digit number is
","A. 2

B. 4

C. 6

D. 8","Smallest 5-digit number is 10000

10000 = 24× 54

Hence, it has only 2 prime factors.",Q. 28,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"If the number 7254*98 is divisible by 22, the digit at * is
","A. 1

B. 2

C. 6

D. 0","Take the alternating sum of the digits in the number, read from left to right. If that is divisible by 11, so is the original number.

7 – 2 + 5 – 4 + * - 9 + 8 = (5 + *)

For 7254 * 98 to be divisible by 11,

(5 + *) must also be divisible by 11

Hence, 5 + * = 11

∴ * = 11 - 5

= 6",Q. 29,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The largest number which always divides the sum of any pair of consecutive odd numbers is
","A. 2

B. 4

C. 6

D. 8","Sum of two consecutive numbers is always divisible by 4, for example

1 + 3 = 4

3 + 5 = 8

5 + 7 = 12

All are divisible by 4.

But 1 + 3 = 4 is neither divisible by 6 nor by 8, therefore 4 is the largest number which always divides the sum of any pair of consecutive odd numbers.

**Additional proof (Not for exam purpose)

Any two consecutive odd numbers will be in the form, 2n – 1 and 2n + 1, for n = 1, 2, 3, …and so on

Hence, their addition

2n – 1 + 2n + 1 = 4n is divisible by 4.",Q. 30,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"A number is divisible by 5 and 6. It may not be divisible by
","A. 10

B. 15

C. 30

D. 60","A number is divisible by 5 and 6.

Let number be a = 5× 6× b (where b is any random number)

A. a = 5× 6× b

= 5× 2× 3× b

= 10× 5× b

Hence, it is divisible by 10.

B. a = 5× 6× b

= 5× 2× 3× b

= 2×15× b

Hence, it is divisible by 15.

C. a = 5× 6× b

= 30× b

Hence, it is divisible by 30.

D. a = 5× 6× b

= 30× b

It can’t be written as 60× b and hence it may not divisible by 60.",Q. 31,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The sum of the prime factors of 1729 is
","A. 13

B. 19

C. 32

D. 39","1729 = 7× 13× 19

Prime factors of 1729 are 7, 13 and 19

Hence, sum of prime factors = 07+13+19

= 39",Q. 32,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The greatest number which always divides the product of the predecessor and successor of an odd natural number other than 1 is
","A. 6

B. 4

C. 16

D. 8","Let a be a odd natural number

Predecessor (number before) = a - 1 = 2× b (a even number)

Successor (number after) = a+1 = 2× c (a even number)

Since,

The product of the predecessor and successor of an odd natural n

= (2× b) × (2× c)

= 4× b× c

Hence, the largest dividing number is 4",Q. 33,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The number of common prime factors of 75, 60, and 105 is
","A. 2

B. 3

C. 4

D. 5","Prime factors of 75 = 3, 5

Prime factors of 60 = 2, 3, 5

Prime factors of 105 = 3, 5, 7

Hence, common prime factors are 3 and 5

I.e. count = 2",Q. 34,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following pairs is not coprime?
","A. 8, 10

B. 11, 12

C. 1, 3

D. 31, 33","A. Both 8 and 10 are even. Hence, 2 is also a common factor (other than 1) hence, not coprime.

B. 11, 12 only have 1 as a common factor. Hence they are coprime.

C. 1, 3 only have 1 as a common factor. Hence they are coprime.

D. 31, 33 only have 1 as a common factor. Hence they are cop rime.",Q. 35,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Which of the following numbers is divisible by 11?
","A. 1011011

B. 1111111

C. 22222222

D. 3333333","Take the alternating sum of the digits in the number, read from left to right. If that is divisible by 11, so is the original number.

A. 1011011

Sum = 1 – 0 + 1 – 1 + 1 – 1 + 1 = 2

Since, 2 is not divisible by 11, 1011011 is not divisible by 11.

B. 1111111

Sum = 1 – 1 + 1 – 1 + 1 – 1 + 1 = 1

Since, 2 is not divisible by 11, 1011011 is not divisible by 11.

C. 22222222

Sum = 2 – 2 + 2 - 2 + 2 – 2 + 2 - 2 = 0

Since, 0 is divisible by 11, 22222222 is divisible by 11.

D. 3333333

Sum = 3 – 3 + 3 – 3 + 3 – 3 + 3 = 3

Since, 3 is not divisible by 11, 3333333 is not divisible by 11.",Q. 36,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"LCM of 10, 15 and 20 is
","A. 30

B. 60

C. 90

D. 180","LCM of 10, 15 and 20:-

10 = 2× 5

15 = 3× 5

20 = 2× 2× 5

2: 2 occurrences

3: 1 occurrence

5:1 occurrence

LCM = 2× 2× 3× 5 = 60",Q. 37,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"LCM of two numbers is 180. Then which of the following is not the HCF of the numbers?
","A. 45

B. 60

C. 75

D. 90","LCM is the multiple of a number while HCF is the highest factor

Hence, HCF must completely divide the LCM.

A. Since it completely divides (with integer quotient), it may be HCF.

B. Since it completely divides (with integer quotient), it may be HCF.

C. Since the answer is not an integer quotient, it can’t be the HCF.

D. Since it completely divides (with integer quotient), it may be HCF.",Q. 38,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In Roman numeration, a symbol is not repeated more than three times.",NA,"True.

It is a general rule for writing Roman numbers.

∴ It is true.",Q. 39,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"In Roman numeration, if a symbol is repeated, its value is multiplied as many times as it occurs.",NA,"False.

In Roman numeration, if a symbol is repeated it means its value is added as many times as it occurs.

∴ It is false",Q. 40,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"5555 = 5 × 10

00 + 5 × 100 + 5 × 10 + 5 × 1",NA,"True.

Since, 5 × 1000 + 5 × 100 + 5 × 10 + 5 × 1 = 5555.

∴ It is true.",Q. 41,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
39746 = 3 × 10000 + 9 × 1000 + 7 × 100 + 4 × 10 + 6,NA,"True

Since, 3 × 10000 + 9 × 1000 + 7 × 100 + 4 × 10 + 6 = 39746.
∴ It is true.",Q. 42,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
82546 = 8 × 1000 + 2 × 1000 + 5 × 100 + 4 × 10 + 6,NA,"False

Since, 8 × 1000 + 2 × 1000 + 5 × 100 + 4 × 10 + 6

= 8000 + 2000 + 500 + 40 + 6 = 10546
⇒ 10546 ≠ 82546

∴ It is false",Q. 43,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
532235 = 5 × 100000 + 3 × 10000 + 2 × 1000 + 2 × 100 + 3 × 10 + 5,NA,"True.

Since, 5 × 100000 + 3 × 10000 + 2 × 1000 + 2 × 100 + 3 × 10 + 5 = 532235
∴ It is true.",Q. 44,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
XXIX = 31,NA,"False.

XXIX is read as 29, i.e. XXIX = 10 + 10 + 9 = 29
⇒ 29 ≠ 31

31 is written as XXXI
∴ It is false.",Q. 45,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
LXXIV = 74,NA,"True.

LXXIV is read as 74, i.e. LXXIV = 50 + 10 + 10 + 4 = 74
∴ It is true.",Q. 46,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number LIV is greater than LVI.,NA,"False.

Number LIV is read as 54, i.e. LIV = 50 + 4 = 54 and

Number LVI is read as 56, i.e. LVI = 50 + 6 = 56

⇒ 56 > 54 ⇒ LVI > LIV
LIV is smaller than LVI
∴ It is false.",Q. 47,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The numbers 4578, 4587, 5478, 5487 are in descending order.",NA,"False

Since, 5487 > 5478 > 4587 > 4578

On arranging the number in descending order, we get :
5487, 5478, 4587, 4578",Q. 48,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number 85764 rounded off to nearest hundreds is written as 85700.,NA,"False.

The number 85764 is nearest to 85800 than 85700
∴ on rounding off 85764 to nearest hundred we get 85800.
85800 ≠ 85700",Q. 49,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Estimated sum of 7826 and 12469 rounded off to hundreds is 20, 000.",NA,"False.

Rounding off 7826 to nearest hundred = 7800
Rounding off 12469 to nearest hundred = 12500
Sum = 7800 + 12500 = 20300
20300 ≠ 20, 000",Q. 50,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The largest six digit telephone number that can be formed by using digits 5, 3, 4, 7, 0, 8 only once is 875403.",NA,"False.

Arranging the numbers in descending order, we get :
8 > 7 > 5 > 4 > 3 > 0.
Thus the largest six digit number that can be formed using these digits is 875430.
875430 ≠ 875403",Q. 51,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
The number 81652318 will be read as eighty one crore six lakh fifty two thousand three hundred eighteen.,NA,"False.

81652318 is read as eight crore sixteen lakh fifty two thousand three hundred eighteen.",Q. 52,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"The largest 4-digit number formed by the digits 6, 7, 0, 9 using each digit only once is 9760.",NA,"True.

Arranging the numbers in descending order, we get :
9 > 7 > 6 > 0.
Thus the largest four digit number that can be formed using these digits is 9760.",Q. 53,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
"Among kilo, milli and centi, the smallest is centi.",NA,"False.
From the metric conversion table :

1 kilo = 10000 centi and 1 kilo = 1000000 milli
Also, 1 centi = 10 milli

∴ kilo > centi > milli
∴ Milli is the smallest.",Q. 54,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Successor of a one digit number is always a one digit number.,NA,"False.
If we consider a 1-digit number 9, then its successor will be
9 + 1 = 10, which is a 2-digit number.
∴ It is false.",Q. 55,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
Successor of a 3-digit number is always a 3-digit number.,NA,"False.
If we consider a 3-digit number 999, then its successor will be
999 + 1 = 1000, which is a 4-digit number.
∴ It is false.",Q. 56,exercise,https://school.gradeup.co/ex-1-q1-the-product-of-the-place-values-of-two-2-s-in-428721-i-1nklcf,1. Number System,maths,Grade 6,NCERT Exemplar Class 6 Maths
