question_text,options,solution_text,question_no,book,grade,subject,path,chapter,exercise
"Match the organisms given in Column I with their part/ product in Column II that is used by a human
being as food.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/1531400269627722.png""/></p>
",NA,"(a) mustard plant – (iii) seed
because seeds of the mustard plant are used for extracting oil.
(b) goat – (i) meat
because the flesh of goat is used as edible meat.
(c) hen – (ii) fruits and vegetables
because a hen eats fruit and vegetable
(d) smoke – (iv) the direction of air flow.
because smoke travels in the direction of air flow.
(e) wind – (v) prevent dust particles.
The takes away the dust particles.
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/match-the-organisms-given-in-column-i-with-their-part-i-1nkn7f,Food: Where Does It Come From,Short Answer Questions
"Label and color the different parts of the plant given below in Fig 1.2:
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/153140027034856.png""/></p>
",NA,"(a) - petals
(b) - bud
(c) - leaves
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/1531400271306352.jpg""/></p>
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/label-and-color-the-different-parts-of-the-plant-given-below-i-1nkn7g,Food: Where Does It Come From,Short Answer Questions
"Read the names of animals written in the inner ring of Fig 1.3. Within the second ring write the types
of food they eat and the category to which they belong (based on the eating habit) in the outermost ring. One example has worked out for you. Green and blue colours for writing.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/1531400272259147.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/1531400272990540.png""/></p>
",Q. 17,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-the-names-of-animals-written-in-the-inner-ring-of-fig-1-i-1nkn7h,Food: Where Does It Come From,Long Answer Questions
"Connect the animal with the food it eats by an arrow using different colours in Fig. 1.4. One is done for you.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18966/153140027371191.png""/></p>
",NA,"buffalo
→
eats
→
grass
lion
→
eats
→
goat
lizard
→
eats
→
insect and spider
snakes
→
eats
→
rat
→
eats
→
grains
",Q. 18,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/connect-the-animal-with-the-food-it-eats-by-an-arrow-using-i-1nkn7i,Food: Where Does It Come From,Long Answer Questions
"List two of your favorite food items are mentioned their ingredients.
",NA,"Rice
The ingredients for cooking rice are:
Rice
Peas
Cauliflower
Potato
Onion
Cashew
Oil
Spices
Water
&
aaloo
ki sabzi
The ingredients for cooking aloo ki sabji are:
Oil
Potato
Tomato
Spices
Water
",Q. 19,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/list-two-of-your-favorite-food-items-are-mentioned-their-i-1nkn7j,Food: Where Does It Come From,Long Answer Questions
"Which one of the following food item does not provide dietary fiber?
","A. Whole grains
B. Whole pulses
C. Fruits and vegetables
D. Milk
","Dietary fiber is obtained from cellulose which is made up of cellulose which is made up of plant products. Whole grains, whole pulses, fruits and vegetables are plant products and provide dietary fiber whereas milk is an animal product and does not provide dietary fiber.",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-one-of-the-following-food-item-does-not-provide-i-1nkn7k,2. Components of Food,Multiple Choice Question
"Which of the following sources of protein is different from others?
","A. Peas
B. Gram
C. Soya beans
D. Cottage cheese (paneer)
","Among the given sources of proteins, cottage cheese (paneer) is different as it is an animal protein, whereas peas, beans and soya beans are plant proteins.",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-sources-of-protein-is-different-from-i-1nkn7l,2. Components of Food,Multiple Choice Question
"Which of the following nutrients is not present in milk?
","A. Protein
B. Vitamin C
C. Calcium
D. Vitamin D
",Vitamin C is not present in milk. It is present in citrus fruits such as oranges and green vegetables.,Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-nutrients-is-not-present-in-milk-a-i-1nkn7m,2. Components of Food,Multiple Choice Question
"Read the food item given below:
(a) Wheat
(b) Ghee
(c) Iodised salt
(d) Spinach (palak)
Which of the above food items are energy giving food?
","A. a and d
B. b and d
C. a and b
D. c and d
","Wheat (i.e. carbohydrates) and ghee (i.e. fats) are energy giving food. The other food spinach and iodized salt are good source of iron and iodine respectively.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-the-food-item-given-below-a-wheat-b-ghee-c-iodised-salt-i-1nkn7n,2. Components of Food,Multiple Choice Question
"Which of the following statement about diseases.
(i) They are caused by germs.
(ii) They are caused due to lack of nutrients in our diet
(iii) They can be passed on to another person through contact.
(iv) They can be prevented by taking a balanced diet.
Which pair of statements best describes a deficiency disease?
","A. (i) and (ii)
B. (ii) and (iii)
C. (ii) and (iv)
D. (i) and (iii)
","To prevent these diseases it is essential to have a balanced diet. It is a diet which contains adequate amount of nutrients as well as sufficient quantity of water and roughage.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-statement-about-diseases-i-they-are-i-1nkn7o,2. Components of Food,Multiple Choice Question
"Given below are the steps to test the presence of proteins in a food item:
(i) Take a small quantity of the food item in a test tube, add 10 drops of water to it shake it.
(ii) Make a paste or powder of food to be tested.
(iii) Add 10 drops of caustic soda solution to the test tube and shake well.
(iv)Add 2 drops of copper sulphate solution to it.
Which of the following is the correct sequence of the steps?
","A. i, ii, iv, iii
B. ii, i, iv, iii
C. ii, i, iii, iv
D. iv, ii, i, iii
","The presence of protein in a food material is tested on the basis of a reaction between proteins and alkaline solution of copper sulphate, that gives a violet color.
Test involves the sequence in ii, i, iii, iv
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/given-below-are-the-steps-to-test-the-presence-of-proteins-i-1nkn7p,2. Components of Food,Multiple Choice Question
"Unscramble the following words related to components of food and write them in the space provided.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400917043875.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400917870371.png""/></p>
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/unscramble-the-following-words-related-to-components-of-food-i-1nkn7q,2. Components of Food,Very Short Answer Question
"Which of the following food items does not provide any nutrient?
Milk, Water, Orange juice, Tomato soup
",NA,"Among the given food items water does not provide any nutrient, but is needed by our body for various functions such as transport of digested food, controlling and regulating body temperature, etc. The other food items i.e. milk provide proteins, fats and vitamins, while orange juice and tomato soup provide vitamin C.",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-food-items-does-not-provide-any-i-1nkn7r,2. Components of Food,Very Short Answer Question
"Fill in the blanks from the list of words given below:
(carbohydrate, fat, protein, starch, sugar, vitamin A, vitamin C, roughage, balanced diet, obesity, goitre)
(a) Egg yolk is rich in …………………. And egg albumin is rich in ……………….. .
(b) Deficiency diseases can be prevented by taking a …………………. .
(c) Eating too much of fat rich food may lead to a condition called ……………. .
(d) The component of food that does not provide any nutrient to our body and yet is essential in our food is ………………. .
(e) The vitamin that gets destroyed by heating during cooking is ……………….. .
",NA,"(a) Egg yolk is rich in fat and egg albumin is rich in protein.
(b) Deficiency diseases can be prevented by taking a balanced diet.
(c) Eating too much of fat rich food may lead to a condition called obesity.
(d) The component of food that does not provide any nutrient to our body and yet is essential in our food is roughage.
(e) The vitamin that gets destroyed by heating during cooking is vitamin C.
Balanced diet is a diet which provides body with all the essential vitamins and minerals. Any deviation may lead to diseases. Such as taking high fat content leads to obesity.
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/fill-in-the-blanks-from-the-list-of-words-given-below-i-1nkn7s,2. Components of Food,Short Answer Questions
"Read the items of food listed below. Classify them into carbohydrate rich, protein rich and fat food and fill them in the given table.
Moong dal, fish, mustard oil, sweet potato, milk, rice, egg, beans, butter, butter milk (chhach), cottage cheese (paneer). Peas, maize, white bread.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/15314009185930.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400919307440.png""/></p>
",Q. 10,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/read-the-items-of-food-listed-below-classify-them-into-i-1nkn7t,2. Components of Food,Short Answer Questions
"Tasty food is not always nutritious and nutritious food may not always be tasty to eat. Comment with examples.
",NA,"Tasty food is always not nutritious. Several fast food pizza, burger, samosa, potato chips etc. are tasty but not nutritious. They are made of white flour (maida), unhealthy fillings, spices and oil which are not good for health. Nutritious food may not always be tasty to eat. Boiled vegetables are very nutritious but they are not tasty to eat. These foods contain important nutrients required by our body for growing.",Q. 11,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/tasty-food-is-not-always-nutritious-and-nutritious-food-may-i-1nkn7u,2. Components of Food,Short Answer Questions
"While using iodine in the laboratory, some drops of iodine fell on Paheli’s socks and some fell on her teacher’s saree. The drops of iodine on the saree turned blue black while their color did not change on the socks. What can be the possible reason?
",NA,"The effect of adding iodine is shown below:
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400920025665.jpg""/></p>
",Q. 12,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/while-using-iodine-in-the-laboratory-some-drops-of-iodine-i-1nkn7v,2. Components of Food,Short Answer Questions
"Paheli and Boojho peeled some potatoes and cut them into small pieces. They washed and boiled them in water. They threw away the excess water and fried and fried them in oil adding salt and spices. Although the potato dish tasted very good. Its nutrient value was less. Suggest a method of cooking potatoes that will not lower the nutrients in them.
",NA,"Potatoes provide carbohydrates, vitamins and dietary fibres. Wash, peel, cut and cook the potatoes. Cooking in a small amount of water and frying in a small amount of oil conserves the nutrients.",Q. 13,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-and-boojho-peeled-some-potatoes-and-cut-them-into-i-1nkn7w,2. Components of Food,Short Answer Questions
"Paheli avoids eating vegetables but liked to eat biscuits, noodles and white bread. She frequently complains of stomachache and constipation. What are the food item that she should include in her diet to get rid of the problem? Give reason for your answer.
",NA,"Paheli eats biscuits, noodles and white bread which is made up of maida i.e. white flour that does not contain roughage. The complains of stomachache and constipation occurs due to lack of roughage in diet. Paheli must include whole grains, whole pulses, fruits and vegetables in her diet. Roughage allows the waste matter to move more easily and prevents constipation.",Q. 14,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-avoids-eating-vegetables-but-liked-to-eat-biscuits-i-1nkn7x,2. Components of Food,Short Answer Questions
"(a) List all those components of food that provide nutrients.
(b) Mention two components of food to not provide nutrients.
",NA,"● Carbohydrates
● Fats
● Proteins
● Vitamins
● Minerals
(b) Components of food that do not provide nutrients are:-
● Water
● Roughage
",Q. 15,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/a-list-all-those-components-of-food-that-provide-nutrients-b-i-1nkn7y,2. Components of Food,Short Answer Questions
"‘Mineral and vitamins are needed in very small quantities by our body as compared to other components, yet, they are an important part of a balanced diet.’ Explain the statements.
",NA,"a) Vitamins help in protecting our body against various diseases. These are necessary for good eyesight (vitamin A), growth (vitamin B), keeping teeth gums and joints healthy (vitamin C) and normal growth of bones and teeth (vitamin D).
b) Minerals in our body are needed for building bones and teeth (phosphorous and calcium), formation of blood (iron), coagulation of blood and contraction of muscles (calcium). Thus assist in proper functioning, normal growth and good health.
",Q. 16,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/mineral-and-vitamins-are-needed-in-very-small-quantities-by-i-1nkn7z,2. Components of Food,Short Answer Questions
"‘Water does not provide nutrients, yet it is an important component of food.’ Explain?
",NA,"● To transport digested food to body cells
● To absorb nutrients from the food.
● To get rid of waste products from the body.
● To control and regulate the body temperature.
",Q. 17,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/water-does-not-provide-nutrients-yet-it-is-an-important-i-1nkn80,2. Components of Food,Short Answer Questions
"Boojho was having difficulty in seeing thing in dim light. The doctor tested his eyesight and prescribed a prescribed a particular vitamin supplement. He also advised him to include a few food items in his diet.
(a) Which deficiency disease is he suffering from?
(b) Which food component may be lacking in his diet?
(c) Suggest some food items that he should include in his diet. (Any four)
",NA,"In night blindness, a person is not able to see properly in low light. In night, the person cannot see anything, as shown in the picture below:
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400920980390.jpg""/></p>
(b) The food component missing in his diet is vitamin A.
(c) The food items that he should include in his diet are:
● Green vegetables
● Carrot
● Papaya
● Milk
● Mango
● Cod liver oil.
",Q. 18,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/boojho-was-having-difficulty-in-seeing-thing-in-dim-light-i-1nkn81,2. Components of Food,Long Answer Questions
"Solve the cross-word puzzle gi9ven as Fig. 2.1 from the clues given below.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400921684143.jpg""/></p>
Across
1. Lack of nutrients in our diet over a long period causes these diseases (10)
2. Rice and potato are rich in this type of carbohydrate (6)
3. Deficiency disease in bones making it become soft and bent (7)
4. The diet that provides all the nutrients that our body needs, in right quantites, along with adequate amount of roughage and water (8. 4)
5. Deficiency disease with bleeding gums (6)
6. Disease caused due to deficiency of iodine (6)
Down
7. Starch and sugar in our food are rich in this type of energy giving nutrient (13)
8. The term given to the useful components of food (9)
9. The disease caused by deficiency of iron in diet (7)
10. Green leafy vegetables, liver and apples are rich in this mineral (4)
11. Deficiency disease caused due to lack of vitamin B1 in the diet (8)
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400922465797.jpg""/></p>
1. Deficiency
2. Starch
3. Rickets
4. Balanced diet
5. Scurvy
6. Goiter
7. Carbohydrates
8. Nutrients
9. Ammonia
10. Iron
11. Beri-beri
",Q. 19,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/solve-the-cross-word-puzzle-gi9ven-as-fig-2-1-from-the-clues-i-1nkn82,2. Components of Food,Long Answer Questions
"Observed the items given in Fig. 2.2 carefully and answer the question that follow.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400923461946.jpg""/></p>
(a) Food item rich in carbohydrates is ………(i)………….
(b) Egg is a rich source of protein, the mineral ………(ii)…… and vitamin ….(iii)……..
(c) …..(iv)…. Is a rich source of fat.
(d) Milk provides …….(v)……, vitamin D and ….(vi)…… (mineral)
(e) …..(vii)…. (fruit) is a rich sources of vitamin A.
(f) Spinach is a good sources of the mineral …..(viii)……. .
(g) Both eggs and ….(xi)…. Are rich in ….(x)….. .
",NA,"(a) Food item rich in carbohydrates is chapattis
(b) Egg is a rich source of protein, the mineral calcium and vitamin D, B12
(c) Butter is a rich source of fat.
(d) Milk provides protein, vitamin D and calcium (mineral)
(e) Papaya (fruit) is a rich sources of vitamin A.
(f) Spinach is a good sources of the mineral iron
(g) Both eggs and peas are rich in proteins.
different food sources are rich in different type of nutrients and minerals. Thus few examples are given below.
",Q. 20,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/observed-the-items-given-in-fig-2-2-carefully-and-answer-the-i-1nkn83,2. Components of Food,Long Answer Questions
"SNAKES AND LADDERS
Make a bond-game just like ‘snakes and ladder’ with 10 10 grid boxes.
The mouth of the snake will represent the faulty food habit or faulty method of cooking. Its tail will represent the deficiency disease caused or loss of any nutrient in food.
Similarly, the box at the base of a ladder will represent healthy food habit or healthy method of cooking. Its upper end will represent the beneficial effect of that habit. An example is given as Fig. 2.3. Complete the board and with your friends.
<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400924180567.png""/></p>
",NA,"<p><img src=""https://gradeup-question-images.grdp.co/liveData/PROJ18967/1531400926309983.jpg""/></p>
",Q. 21,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/snakes-and-ladders-make-a-bond-game-just-like-snakes-and-i-1nkn84,2. Components of Food,Long Answer Questions
"Paheli wants to present her friends a gift made of plant-fiber.
Which out of the following will she select?
","A. Jute bag
B. Woolen shawl
C. Silk saree
D. Nylon scarf
","(i) Woolen shawl and silk sarees are made of animal-fiber because woolen fiber is obtained from the hair of sheep, goat, and rabbits and silk fiber is obtained from the silkworm.
(ii) And Nylon scarf is made of nylon fiber which is obtained from chemicals.
(iii) So jute bag is the only one which is made of plant-fiber because jute fiber is obtained from the stem of jute plant.
",Q. 1,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/paheli-wants-to-present-her-friends-a-gift-made-of-plant-i-1nkn85,3. Fibre to Fabric,Multiple Choice Question
"Which statements out of the following is incorrect?
","A. use of charkha was popularized by Mahatma Gandhi as a part of the independence movements.
.
B. In India, Jute is mainly grown in Kerala and Punjab.
C. To make fabric, the fibers are converted into yarns.
D. Sufi saint Kabir was a weaver.
","Because In India, jute is mainly grown in West Bengal, Bihar, and Assam. And it is true that use of charkha was popularized by Mahatma Gandhi as a part of the independence movements. And to make fabric, the fibers are first converted into yarns. And Sufi saint Kabir was a poet and weaver. So statements (a), (c) and (d) are true and (b) is incorrect.
",Q. 2,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-statements-out-of-the-following-is-incorrect-a-use-of-i-1nkn86,3. Fibre to Fabric,Multiple Choice Question
"Which of the following materials did people use in ancient times for making clothes?
(i) Leaves of trees
(ii) Newspaper
(iii) Metal foils
(iv) Animal skins and furs
","A. (i) and (ii)
B. (i) and (iii)
C. (ii) and (iii)
D. (i) and (iv)
","In ancient times, people did not know how to weave. And at that time, there was not a newspaper and metal foils. So in ancient times, people used leaves of trees, animal skins, and furs for making clothes.
",Q. 3,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-materials-did-people-use-in-ancient-i-1nkn87,3. Fibre to Fabric,Multiple Choice Question
"Which of the following is not a natural fiber?
","A. Cotton
B. Jute
C. Nylon
D. Flax
","Cotton fiber is obtained from cotton plants. Jute fibre is obtained from stem of jute plant. And flax fiber is also obtained from flax plant. So cotton, jute and flax are natural fibres. But Nylon fibre is obtained from chemicals. So nylon is a synthetic fibre.
**Imporant Information**
- The fibres which are not obtained from plants and animals are called synthetic fibres.
",Q. 4,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-of-the-following-is-not-a-natural-fiber-a-cotton-b-i-1nkn88,3. Fibre to Fabric,Multiple Choice Question
"Which set of substances is not used for making fibers?
","A. Silk, chemicals
B. Yak hair, camel hair
C. Husk, bones
D. Flax, wool
","Husk and bones are not used for making fibres. Substances in options (a), (b) and (d) are used for making fibres.
",Q. 5,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-set-of-substances-is-not-used-for-making-fibers-a-silk-i-1nkn89,3. Fibre to Fabric,Multiple Choice Question
"Boojho went to a cloth shop. There he found a fabric which was smooth to touch, had vibrant colour and shine. The fabric could be
","A. Cotton
B. Wool
C. Silk
D. Jute
","Silk fibre is smooth to touch, has vibrant colour and shine.
Cotton is light and less smooth. Wool is fluffy and jute is rough.
",Q. 6,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/boojho-went-to-a-cloth-shop-there-he-found-a-fabric-which-i-1nkn8a,3. Fibre to Fabric,Multiple Choice Question
"Which part of the jute plant is used for getting jute fiber?
","A. Flower
B. Stem
C. Fruits
D. Leaf
","Jute fibre is obtained from stem of jute plant.
",Q. 7,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/which-part-of-the-jute-plant-is-used-for-getting-jute-fiber-i-1nkn8b,3. Fibre to Fabric,Multiple Choice Question
"Yarn is woven to get fabric using
","A. Charkha
B. Spinning machines
C. looms
D. Knitting needles
","The weaving of yarn to make fabrics is done by using ‘looms’. Loom is a device used for making fabrics by weaving yarn. Charkha and spinning machines are used for making yarn from fibres. And Knitting is a other process of making fabrics by using knitting needles.
",Q. 8,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/yarn-is-woven-to-get-fabric-usinga-charkha-b-spinning-i-1nkn8c,3. Fibre to Fabric,Multiple Choice Question
"Beera is a farmer. His field has black soil and the climate is warm. Which fiber yielding plant should he grow in his field?
","A. Jute
B. Cotton
C. Coconut
D. Wool
","Because cotton fibres is obtained from the cotton plants and cotton crop is usually grown at places which having black soil and warm climate. So Beera should grow cotton plant in this field.
",Q. 9,NCERT Exemplar Class 6 Science,Grade 6,Science,https://school.gradeup.co/beera-is-a-farmer-his-field-has-black-soil-and-the-climate-i-1nkn8d,3. Fibre to Fabric,Multiple Choice Question
